cellphone_id,brand,model,operating_system
0,Apple                                             ,iPhone SE (2022)                                  ,iOS                                               
1,Apple                                             ,iPhone 13 Mini                                    ,iOS                                               
2,Apple                                             ,iPhone 13                                         ,iOS                                               
3,Apple                                             ,iPhone 13 Pro                                     ,iOS                                               
4,Apple                                             ,iPhone 13 Pro Max                                 ,iOS                                               
5,Apple                                             ,iPhone XR                                         ,iOS                                               
6,Asus                                              ,Zenfone 8                                         ,Android                                           
7,Samsung                                           ,Galaxy A13                                        ,Android                                           
8,Samsung                                           ,Galaxy A32                                        ,Android                                           
9,Samsung                                           ,Galaxy A53                                        ,Android                                           
10,Samsung                                           ,Galaxy S22                                        ,Android                                           
11,Samsung                                           ,Galaxy S22 Plus                                   ,Android                                           
12,Samsung                                           ,Galaxy S22 Ultra                                  ,Android                                           
13,Samsung                                           ,Galaxy Z Flip 3                                   ,Android                                           
14,Samsung                                           ,Galaxy Z Fold 3                                   ,Android                                           
15,Google                                            ,Pixel 6                                           ,Android                                           
16,Google                                            ,Pixel 6a                                          ,Android                                           
17,Google                                            ,Pixel 6 Pro                                       ,Android                                           
18,OnePlus                                           ,Nord N20                                          ,Android                                           
19,OnePlus                                           ,Nord 2T                                           ,Android                                           
20,OnePlus                                           ,10 Pro                                            ,Android                                           
21,OnePlus                                           ,10T                                               ,Android                                           
22,Oppo                                              ,Find X5 Pro                                       ,Android                                           
23,Vivo                                              ,X80 Pro                                           ,Android                                           
24,Xiaomi                                            ,Redmi Note 11                                     ,Android                                           
25,Xiaomi                                            ,11T Pro                                           ,Android                                           
26,Xiaomi                                            ,12 Pro                                            ,Android                                           
27,Xiaomi                                            ,Poco F4                                           ,Android                                           
28,Sony                                              ,Xperia Pro                                        ,Android                                           
29,Motorola                                          ,Moto G Stylus (2022)                              ,Android                                           
30,Motorola                                          ,Moto G Play (2021)                                ,Android                                           
31,Motorola                                          ,Moto G Pure                                       ,Android                                           
32,Motorola                                          ,Moto G Power (2022)                               ,Android                                           
