user_id,age,gender,occupation
0,None,Female                                            ,None
1,None,Female                                            ,None
6,None,Female                                            ,None
8,None,Female                                            ,None
10,None,Male                                              ,None
12,None,Female                                            ,None
16,None,Female                                            ,None
24,None,Female                                            ,None
25,None,Female                                            ,None
26,None,Female                                            ,None
27,None,Female                                            ,None
28,None,Female                                            ,None
29,None,Female                                            ,None
30,None,Male                                              ,None
32,None,Male                                              ,None
33,None,Female                                            ,None
35,None,Male                                              ,None
36,None,Male                                              ,None
37,None,Female                                            ,None
38,None,Male                                              ,None
52,None,Male                                              ,None
56,None,Female                                            ,None
60,None,Male                                              ,None
74,None,Male                                              ,None
79,None,Male                                              ,None
80,None,Male                                              ,None
84,None,Male                                              ,None
85,None,Female                                            ,None
91,None,Male                                              ,None
95,None,Male                                              ,None
98,None,Female                                            ,None
99,None,Male                                              ,None
100,None,Female                                            ,None
